in,out
0.01,0.009307861328125
0.02,0.0183868408203125
0.03,0.027587890625
0.04,0.0364532470703125
0.05,0.045684814453125
0.060000000000000005,0.054473876953125
0.06999999999999999,0.063629150390625
0.08,0.072235107421875
0.09,0.0810699462890625
0.09999999999999999,0.0901641845703125
0.11,0.0986175537109375
0.12,0.10711669921875
0.13,0.1160888671875
0.14,0.1244049072265625
0.15000000000000002,0.1326141357421875
0.16,0.1420440673828125
0.17,0.14990234375
0.18000000000000002,0.1580810546875
0.19,0.167205810546875
0.2,0.1744384765625
0.21000000000000002,0.18194580078125
0.22,0.190185546875
0.23,0.1971588134765625
0.24000000000000002,0.204864501953125
0.25,0.21197509765625
0.26,0.2195587158203125
0.27,0.22711181640625
0.28,0.234344482421875
0.29000000000000004,0.2415618896484375
0.3,0.2465057373046875
0.31,0.252105712890625
0.32,0.2579345703125
0.33,0.262176513671875
0.34,0.2685546875
0.35000000000000003,0.272125244140625
0.36000000000000004,0.27471923828125
0.37,0.2790985107421875
0.38,0.2821197509765625
0.39,0.284027099609375
0.4,0.287628173828125
0.41000000000000003,0.291595458984375
0.42000000000000004,0.29510498046875
0.43,0.2985992431640625
0.44,0.303985595703125
0.45,0.309356689453125
0.46,0.3147430419921875
0.47000000000000003,0.3194732666015625
0.48000000000000004,0.324432373046875
0.49,0.328369140625
0.5,0.331634521484375
0.51,0.3358154296875
0.52,0.337799072265625
0.53,0.340728759765625
0.54,0.3451080322265625
0.55,0.34674072265625
0.56,0.35076904296875
0.5700000000000001,0.355743408203125
0.5800000000000001,0.3589019775390625
0.59,0.364013671875
0.6,0.36895751953125
0.61,0.3745880126953125
0.62,0.3795928955078125
0.63,0.382965087890625
0.64,0.38604736328125
0.65,0.39044189453125
0.66,0.392974853515625
0.67,0.3950653076171875
0.68,0.3992156982421875
0.6900000000000001,0.401763916015625
0.7000000000000001,0.404083251953125
0.7100000000000001,0.4089813232421875
0.72,0.412322998046875
0.73,0.4171600341796875
0.74,0.4218597412109375
0.75,0.425140380859375
0.76,0.4312286376953125
0.77,0.435028076171875
0.78,0.4371795654296875
0.79,0.4421234130859375
0.8,0.4444732666015625
0.81,0.4460296630859375
0.8200000000000001,0.4502105712890625
0.8300000000000001,0.4525146484375
0.8400000000000001,0.455078125
0.85,0.459014892578125
0.86,0.4618988037109375
0.87,0.46685791015625
0.88,0.4717864990234375
0.89,0.475189208984375
0.9,0.4810638427734375
0.91,0.4853973388671875
0.92,0.4879302978515625
0.93,0.492462158203125
0.9400000000000001,0.494476318359375
0.9500000000000001,0.4967193603515625
0.9600000000000001,0.500213623046875
0.97,0.502777099609375
0.98,0.5043792724609375
0.99,0.508514404296875
1.0,0.5103302001953125
1.01,0.5146026611328125
1.02,0.5195770263671875
1.03,0.522796630859375
1.04,0.5281829833984375
1.05,0.5323028564453125
1.06,0.5341033935546875
1.07,0.539703369140625
1.08,0.5420074462890625
1.09,0.5434112548828125
1.1,0.547576904296875
1.11,0.549560546875
1.12,0.5506439208984375
1.1300000000000001,0.5544281005859375
1.1400000000000001,0.5553436279296875
1.1500000000000001,0.5597991943359375
1.1600000000000001,0.5648956298828125
1.17,0.5669097900390625
1.18,0.573211669921875
1.19,0.5777435302734375
1.2,0.579254150390625
1.21,0.5837860107421875
1.22,0.587005615234375
1.23,0.5879669189453125
1.24,0.5915069580078125
1.25,0.5918731689453125
1.26,0.5943756103515625
1.27,0.5982208251953125
1.28,0.59906005859375
1.29,0.602783203125
1.3,0.607421875
1.31,0.609649658203125
1.32,0.6152191162109375
1.33,0.6187286376953125
1.34,0.621063232421875
1.35,0.6258392333984375
1.36,0.6290435791015625
1.37,0.629241943359375
1.3800000000000001,0.6328125
1.3900000000000001,0.6342620849609375
1.4000000000000001,0.636077880859375
1.4100000000000001,0.639251708984375
1.42,0.6414337158203125
1.43,0.64404296875
1.44,0.6472625732421875
1.45,0.649749755859375
1.46,0.6551971435546875
1.47,0.659271240234375
1.48,0.6617279052734375
1.49,0.6656494140625
1.5,0.66748046875
1.51,0.6693878173828125
1.52,0.6731414794921875
1.53,0.6743011474609375
1.54,0.675537109375
1.55,0.6793365478515625
1.56,0.680267333984375
1.57,0.68304443359375
1.58,0.6870269775390625
1.59,0.6890106201171875
1.6,0.693359375
1.61,0.697357177734375
1.62,0.6999359130859375
1.6300000000000001,0.7040252685546875
1.6400000000000001,0.704833984375
1.6500000000000001,0.7071685791015625
1.6600000000000001,0.710968017578125
1.6700000000000002,0.7116851806640625
1.68,0.7128448486328125
1.69,0.7165374755859375
1.7,0.71734619140625
1.71,0.7193145751953125
1.72,0.72344970703125
1.73,0.725341796875
1.74,0.7292022705078125
1.75,0.7311553955078125
1.76,0.735382080078125
1.77,0.739349365234375
1.78,0.740509033203125
1.79,0.7428741455078125
1.8,0.746002197265625
1.81,0.7462005615234375
1.82,0.74810791015625
1.83,0.75115966796875
1.84,0.7513580322265625
1.85,0.75433349609375
1.86,0.756805419921875
1.87,0.7585601806640625
1.8800000000000001,0.7618255615234375
1.8900000000000001,0.7636566162109375
1.9000000000000001,0.768218994140625
1.9100000000000001,0.7715606689453125
1.9200000000000002,0.772308349609375
1.93,0.77569580078125
1.94,0.7782745361328125
1.95,0.778533935546875
1.96,0.7805938720703125
1.97,0.7830047607421875
1.98,0.7828521728515625
1.99,0.7856292724609375
2.0,0.7864532470703125
2.01,0.789215087890625
2.02,0.792633056640625
2.03,0.79437255859375
2.04,0.797576904296875
2.05,0.80181884765625
2.0599999999999996,0.8029937744140625
2.07,0.8047943115234375
2.0799999999999996,0.80853271484375
2.09,0.808258056640625
2.0999999999999996,0.8101654052734375
2.11,0.8123321533203125
2.1199999999999997,0.8125
2.13,0.8151397705078125
2.1399999999999997,0.815338134765625
2.15,0.8177490234375
2.1599999999999997,0.821258544921875
2.17,0.82232666015625
2.1799999999999997,0.825042724609375
2.19,0.8294219970703125
2.1999999999999997,0.83038330078125
2.21,0.8327789306640625
2.2199999999999998,0.8359527587890625
2.23,0.835723876953125
2.2399999999999998,0.8372955322265625
2.25,0.837982177734375
2.26,0.839630126953125
2.27,0.8416748046875
2.28,0.8419952392578125
2.29,0.844207763671875
2.3,0.8473052978515625
2.31,0.84783935546875
2.32,0.851165771484375
2.3299999999999996,0.8543853759765625
2.34,0.855316162109375
2.3499999999999996,0.85772705078125
2.36,0.8608856201171875
2.3699999999999997,0.8601226806640625
2.38,0.8621826171875
2.3899999999999997,0.862518310546875
2.4,0.864166259765625
2.4099999999999997,0.865692138671875
2.42,0.865631103515625
2.4299999999999997,0.86773681640625
2.44,0.869781494140625
2.4499999999999997,0.8703765869140625
2.46,0.87310791015625
2.4699999999999998,0.875640869140625
2.48,0.876251220703125
2.4899999999999998,0.8775177001953125
2.5,0.8784332275390625
2.51,0.8792877197265625
2.52,0.8798370361328125
2.53,0.879852294921875
2.54,0.88067626953125
2.55,0.881591796875
2.56,0.881103515625
2.57,0.8820648193359375
2.5799999999999996,0.884002685546875
2.59,0.88409423828125
2.5999999999999996,0.8858184814453125
2.61,0.887786865234375
2.6199999999999997,0.88702392578125
2.63,0.8870086669921875
2.6399999999999997,0.8868408203125
2.65,0.8870849609375
2.6599999999999997,0.887176513671875
2.67,0.8870391845703125
2.6799999999999997,0.887115478515625
2.69,0.88787841796875
2.6999999999999997,0.8872528076171875
2.71,0.88726806640625
2.7199999999999998,0.88818359375
2.73,0.88726806640625
2.7399999999999998,0.88763427734375
2.75,0.8871002197265625
2.76,0.8875274658203125
2.77,0.8877105712890625
2.78,0.8872528076171875
2.79,0.8876190185546875
2.8,0.8879852294921875
2.81,0.88751220703125
2.82,0.88726806640625
2.8299999999999996,0.88848876953125
2.84,0.8876953125
2.8499999999999996,0.8876495361328125
2.86,0.88861083984375
2.8699999999999997,0.887969970703125
2.88,0.88800048828125
2.8899999999999997,0.8870391845703125
2.9,0.8879547119140625
2.9099999999999997,0.88818359375
2.92,0.8879241943359375
2.9299999999999997,0.8877105712890625
2.94,0.8883819580078125
2.9499999999999997,0.8879241943359375
2.96,0.887451171875
2.9699999999999998,0.8888092041015625
2.98,0.888031005859375
2.9899999999999998,0.887939453125
3.0,0.88726806640625
3.01,0.8882293701171875
3.02,0.8882904052734375
3.03,0.8876495361328125
3.04,0.8883514404296875
3.05,0.8886566162109375
3.06,0.8883819580078125
3.07,0.88800048828125
3.08,0.8888092041015625
3.09,0.888702392578125
3.0999999999999996,0.8876495361328125
3.11,0.8891448974609375
3.1199999999999997,0.8886260986328125
3.13,0.8882598876953125
3.1399999999999997,0.8874053955078125
3.15,0.8885955810546875
3.1599999999999997,0.8885955810546875
3.17,0.888397216796875
3.1799999999999997,0.888519287109375
3.19,0.8889923095703125
3.1999999999999997,0.888763427734375
3.21,0.8881072998046875
3.2199999999999998,0.88909912109375
3.23,0.888946533203125
3.2399999999999998,0.887908935546875
3.25,0.8875732421875
3.26,0.8890838623046875
3.27,0.888763427734375
3.28,0.8881072998046875
3.29,0.8889007568359375
3.3,0.8889923095703125
3.31,0.8889312744140625
3.32,0.8888397216796875
3.33,0.8893280029296875
3.34,0.889129638671875
3.3499999999999996,0.8880767822265625
3.36,0.889404296875
3.3699999999999997,0.8893585205078125
3.38,0.8883209228515625
3.3899999999999997,0.88775634765625
3.4,0.8893890380859375
3.4099999999999997,0.889251708984375
3.42,0.888916015625
3.4299999999999997,0.889251708984375
3.44,0.8895263671875
3.4499999999999997,0.8891754150390625
3.46,0.8890533447265625
3.4699999999999998,0.88983154296875
3.48,0.8896331787109375
3.4899999999999998,0.8881378173828125
3.5,0.8878631591796875
3.51,0.8897552490234375
3.52,0.888671875
3.53,0.888519287109375
3.54,0.8897552490234375
3.55,0.88970947265625
3.56,0.8894805908203125
3.57,0.8897247314453125
3.58,0.889892578125
3.59,0.8896942138671875
3.5999999999999996,0.8892059326171875
3.61,0.8901824951171875
3.6199999999999997,0.889923095703125
3.63,0.8882293701171875
3.6399999999999997,0.8882904052734375
3.65,0.8901519775390625
3.6599999999999997,0.889068603515625
3.67,0.88958740234375
3.6799999999999997,0.890045166015625
3.69,0.889984130859375
3.6999999999999997,0.8899383544921875
3.71,0.8899078369140625
3.7199999999999998,0.890228271484375
3.73,0.8902130126953125
3.7399999999999998,0.889129638671875
3.75,0.888153076171875
3.76,0.8903961181640625
3.77,0.8883514404296875
3.78,0.88909912109375
3.79,0.890625
3.8,0.8894500732421875
3.81,0.8902130126953125
3.82,0.89056396484375
3.83,0.8905181884765625
3.84,0.8905029296875
3.8499999999999996,0.890228271484375
3.86,0.89068603515625
3.8699999999999997,0.8904876708984375
3.88,0.888946533203125
3.8899999999999997,0.888519287109375
3.9,0.890716552734375
3.9099999999999997,0.88848876953125
3.92,0.889892578125
3.9299999999999997,0.890899658203125
3.94,0.8898773193359375
3.9499999999999997,0.8907012939453125
3.96,0.8908233642578125
3.9699999999999998,0.8909149169921875
3.98,0.8908233642578125
3.9899999999999998,0.8902435302734375
4.0,0.8883209228515625
4.01,0.89093017578125
4.02,0.8888092041015625
4.03,0.8892364501953125
4.04,0.8912506103515625
4.05,0.8888397216796875
4.06,0.8907623291015625
4.07,0.8913116455078125
4.08,0.890472412109375
4.09,0.8912200927734375
4.1,0.89111328125
4.109999999999999,0.891357421875
4.12,0.8914947509765625
4.13,0.89019775390625
4.14,0.88885498046875
4.1499999999999995,0.891448974609375
4.16,0.88885498046875
4.17,0.8903961181640625
4.18,0.8915557861328125
4.1899999999999995,0.8892822265625
4.2,0.8914337158203125
4.21,0.89154052734375
4.22,0.8909759521484375
4.2299999999999995,0.891693115234375
4.24,0.8913726806640625
4.25,0.88861083984375
4.26,0.89178466796875
4.27,0.8901214599609375
4.28,0.8897705078125
4.29,0.8918609619140625
4.3,0.88897705078125
4.31,0.8913421630859375
4.32,0.8919525146484375
4.33,0.8899078369140625
4.34,0.8919677734375
4.35,0.892059326171875
4.36,0.8915863037109375
4.37,0.8922576904296875
4.38,0.891693115234375
4.39,0.8892669677734375
4.3999999999999995,0.892242431640625
4.41,0.8899688720703125
4.42,0.89111328125
4.43,0.8923187255859375
4.4399999999999995,0.8891143798828125
4.45,0.89208984375
4.46,0.8923187255859375
4.47,0.8903656005859375
4.4799999999999995,0.8925018310546875
4.49,0.8924560546875
4.5,0.889068603515625
4.51,0.892669677734375
4.52,0.8916473388671875
4.53,0.8903656005859375
4.54,0.89263916015625
4.55,0.889801025390625
4.56,0.8920440673828125
4.57,0.8927001953125
4.58,0.8893280029296875
4.59,0.892608642578125
4.6,0.892578125
4.61,0.8908843994140625
4.62,0.8928070068359375
4.63,0.8926544189453125
4.64,0.8896942138671875
4.6499999999999995,0.89306640625
4.66,0.8915252685546875
4.67,0.89178466796875
4.68,0.8931732177734375
4.6899999999999995,0.8897247314453125
4.7,0.8928070068359375
4.71,0.8930816650390625
4.72,0.8896026611328125
4.7299999999999995,0.89306640625
4.74,0.892974853515625
4.75,0.889312744140625
4.76,0.89324951171875
4.77,0.8929595947265625
4.78,0.8908843994140625
4.79,0.893463134765625
4.8,0.8914337158203125
4.81,0.89276123046875
4.82,0.89349365234375
4.83,0.889801025390625
4.84,0.8934783935546875
4.85,0.893463134765625
4.86,0.8902130126953125
4.87,0.893524169921875
4.88,0.8934326171875
4.89,0.8899078369140625
4.8999999999999995,0.8936614990234375
4.91,0.8929595947265625
4.92,0.892120361328125
4.93,0.893798828125
4.9399999999999995,0.8911895751953125
4.95,0.8936767578125
4.96,0.89447021484375
4.97,0.8899383544921875
4.9799999999999995,0.894500732421875
4.99,0.8950653076171875
5.0,0.88970947265625
5.01,0.8954315185546875
5.02,0.895416259765625
5.03,0.8912506103515625
5.04,0.896575927734375
5.05,0.8947296142578125
5.06,0.89422607421875
5.07,0.8975982666015625
5.08,0.8919830322265625
5.09,0.8963165283203125
5.1,0.8983306884765625
5.11,0.89044189453125
5.12,0.897613525390625
5.13,0.8984527587890625
5.14,0.8906402587890625
5.1499999999999995,0.8989715576171875
5.16,0.89794921875
5.17,0.89373779296875
5.18,0.90008544921875
5.1899999999999995,0.8961029052734375
5.2,0.8969573974609375
5.21,0.9012908935546875
5.22,0.892913818359375
5.2299999999999995,0.901336669921875
5.24,0.9040679931640625
5.25,0.89495849609375
5.26,0.9051055908203125
5.27,0.90557861328125
5.28,0.9000244140625
5.29,0.9081268310546875
5.3,0.9070281982421875
5.31,0.906768798828125
5.32,0.9116668701171875
5.33,0.90875244140625
5.34,0.913299560546875
5.35,0.91656494140625
5.36,0.911224365234375
5.37,0.9184417724609375
5.38,0.9198455810546875
5.39,0.9151763916015625
5.3999999999999995,0.92156982421875
5.41,0.9217987060546875
5.42,0.9201812744140625
5.43,0.9244537353515625
5.4399999999999995,0.9232330322265625
5.45,0.9251556396484375
5.46,0.9273681640625
5.47,0.9254150390625
5.4799999999999995,0.9295196533203125
5.49,0.9312896728515625
5.5,0.92877197265625
5.51,0.93365478515625
5.52,0.93505859375
5.53,0.933868408203125
5.54,0.9371795654296875
5.55,0.937896728515625
5.56,0.9380645751953125
5.57,0.9398040771484375
5.58,0.9398193359375
5.59,0.9417877197265625
5.6,0.94293212890625
5.61,0.94183349609375
5.62,0.9456634521484375
5.63,0.9470672607421875
5.64,0.9457550048828125
5.6499999999999995,0.949798583984375
5.66,0.9511566162109375
5.67,0.9505615234375
5.68,0.952728271484375
5.6899999999999995,0.9538116455078125
5.7,0.954071044921875
5.71,0.95501708984375
5.72,0.9547576904296875
5.7299999999999995,0.956695556640625
5.74,0.95770263671875
5.75,0.9555816650390625
5.76,0.95989990234375
5.77,0.9613494873046875
5.78,0.9603271484375
5.79,0.96337890625
5.8,0.9646453857421875
5.81,0.96484375
5.82,0.9662628173828125
5.83,0.9668731689453125
5.84,0.967498779296875
5.85,0.96832275390625
5.86,0.9678192138671875
5.87,0.969329833984375
5.88,0.970245361328125
5.89,0.968353271484375
5.8999999999999995,0.9718475341796875
5.91,0.9725341796875
5.92,0.972808837890625
5.93,0.97509765625
5.9399999999999995,0.975738525390625
5.95,0.976531982421875
5.96,0.977813720703125
5.97,0.97796630859375
5.9799999999999995,0.9783935546875
5.99,0.9792633056640625
6.0,0.9772796630859375
6.01,0.979888916015625
6.02,0.9800567626953125
6.03,0.979461669921875
6.04,0.9818115234375
6.05,0.982452392578125
6.06,0.9828338623046875
6.07,0.9844207763671875
6.08,0.984771728515625
6.09,0.9853668212890625
6.1,0.986175537109375
6.11,0.9865570068359375
6.12,0.987060546875
6.13,0.987152099609375
6.14,0.9860687255859375
6.15,0.9879302978515625
6.16,0.9881134033203125
6.17,0.9876251220703125
6.18,0.9894256591796875
6.1899999999999995,0.989837646484375
6.2,0.989898681640625
6.21,0.99139404296875
6.22,0.991790771484375
6.2299999999999995,0.9921722412109375
6.24,0.9928131103515625
6.25,0.9915008544921875
6.26,0.993621826171875
6.27,0.993560791015625
6.28,0.992767333984375
6.29,0.994171142578125
6.3,0.9942474365234375
6.31,0.9940643310546875
6.32,0.99505615234375
6.33,0.9952545166015625
6.34,0.99566650390625
6.35,0.996307373046875
6.36,0.99658203125
6.37,0.9969635009765625
6.38,0.9973297119140625
6.39,0.9968109130859375
6.4,0.9977874755859375
6.41,0.9977569580078125
6.42,0.9975738525390625
6.43,0.9979705810546875
6.4399999999999995,0.9979705810546875
6.45,0.998077392578125
6.46,0.998443603515625
6.47,0.99853515625
6.4799999999999995,0.99871826171875
6.49,0.9989471435546875
6.5,0.9985809326171875
6.51,0.9994354248046875
6.52,0.999481201171875
6.53,0.9991912841796875
6.54,0.9996185302734375
6.55,0.9995880126953125
6.56,0.999481201171875
6.57,0.9997100830078125
6.58,0.999664306640625
6.59,0.9997100830078125
6.6,0.9998321533203125
6.61,0.99981689453125
6.62,0.9998779296875
6.63,0.999908447265625
6.64,0.9996795654296875
6.65,0.9999237060546875
6.66,0.99993896484375
6.67,0.9998321533203125
6.68,0.9999237060546875
6.6899999999999995,0.9999237060546875
6.7,0.999908447265625
6.71,0.9999237060546875
6.72,0.9998626708984375
6.7299999999999995,0.9999542236328125
6.74,0.999908447265625
6.75,0.9997406005859375
6.76,0.9999542236328125
6.77,0.999969482421875
6.78,0.99981689453125
6.79,0.9999237060546875
6.8,0.999969482421875
6.81,0.999908447265625
6.82,0.9999542236328125
6.83,0.99993896484375
6.84,0.9999542236328125
6.85,0.999969482421875
6.86,0.99993896484375
6.87,0.999969482421875
6.88,0.9999847412109375
6.89,0.9997406005859375
6.9,0.99993896484375
6.91,1.0
6.92,0.9998321533203125
6.93,0.9999542236328125
6.9399999999999995,0.9999847412109375
6.95,0.9999542236328125
6.96,0.999969482421875
6.97,0.99993896484375
6.9799999999999995,0.999969482421875
6.99,0.9999847412109375
7.0,0.9997711181640625
